Restaurant,Chinese Reviews Rating,Chinese Reviews Count,All Reviews Rating,All Reviews Count,Link
Foliage Garden,5,1,4.2,122,https://www.google.com/maps/place/?q=place_id:ChIJSUaXAhNYwokRkCAXm0yMjog
China Taste,5,1,3.9,138,https://www.google.com/maps/place/?q=place_id:ChIJk8DMhOD3wokRuK8aUL4-FuQ
China House,5,1,4.3,138,https://www.google.com/maps/place/?q=place_id:ChIJ4QQKClZnwokRhwR_mW42Cz0
House of Chen,5,1,4.3,116,https://www.google.com/maps/place/?q=place_id:ChIJQ0vNFZtcwokRdxjF5QX5fZk
China Kitchen,5,1,3.9,115,https://www.google.com/maps/place/?q=place_id:ChIJUVi-YF1bwokRy09z-XFA_9g
Wah Yung (Chinese),5,1,3.8,107,https://www.google.com/maps/place/?q=place_id:ChIJGf16oPVcwokR67ulxIeShS8
Al Aqsa Kitchen (With Halal Chinese),5,1,3.7,277,https://www.google.com/maps/place/?q=place_id:ChIJFcKTFrn1wokRtaMdbEgnbn8
Big Apple,5,1,3.9,106,https://www.google.com/maps/place/?q=place_id:ChIJxRxxY4v0wokRPP8f4HQiqpY
Food Bo Garden,5,1,4.1,128,https://www.google.com/maps/place/?q=place_id:ChIJ8XyOxqz1wokROLSVBvjahmw
Cheng's Restaurant,5,1,3.7,134,https://www.google.com/maps/place/?q=place_id:ChIJjfJNOLJNwokRCTSyxEUpKs8
Kam Heung Kitchen,5,1,4.1,128,https://www.google.com/maps/place/?q=place_id:ChIJc1NJUYC1w4kReW7COZCBKGU
China Tang Kitchen,5,1,4.2,103,https://www.google.com/maps/place/?q=place_id:ChIJQ1ld60dbwokRpPviD6NgSLY
China Cocina,5,1,4.3,220,https://www.google.com/maps/place/?q=place_id:ChIJZZe_TMZfwokRJIYa8VelmEA
Family Kitchen,5,1,4.2,139,https://www.google.com/maps/place/?q=place_id:ChIJNQDWDDVbwokR_mewRiDfr-c
China Wok,5,1,4.1,157,https://www.google.com/maps/place/?q=place_id:ChIJZ_5ciK30wokR3ApkWDPpBpQ
Chinese Gourmet,5,1,4.7,118,https://www.google.com/maps/place/?q=place_id:ChIJOQnFpxH0wokRpOynd_51WWw
Apple Garden,5,1,3.5,110,https://www.google.com/maps/place/?q=place_id:ChIJJygaJylhwokRNHak_ojCHJk
China Garden Restaurant,5,1,4,117,https://www.google.com/maps/place/?q=place_id:ChIJ_yiz7O_0wokRP7VbRZlI4dg
China Tasty,5,1,4.3,144,https://www.google.com/maps/place/?q=place_id:ChIJzcevEFuzw4kRHkdYRUf320M
Joy Garden,5,1,3.9,181,https://www.google.com/maps/place/?q=place_id:ChIJB_lmz5f0wokRSvbBPwwSlOI
Ming Hui Chinese Restaurant,5,1,4,179,https://www.google.com/maps/place/?q=place_id:ChIJsayq73rKw4kRpIoVQC-HIvY
New Dragon Star,5,1,3.8,113,https://www.google.com/maps/place/?q=place_id:ChIJJX1CdCfzwokRjI8IRPP0sj4
King Dragon,5,1,3.9,164,https://www.google.com/maps/place/?q=place_id:ChIJtQaVB0D0wokRyrusSN0Cb1o
Lotus Express,5,1,4,196,https://www.google.com/maps/place/?q=place_id:ChIJH2stGfjzwokRCJVwVUMX5hs
Yummy City,5,2,4.4,185,https://www.google.com/maps/place/?q=place_id:ChIJlRWJx6dYwokRIRei4zXdXK4
Xing Wang,5,2,4.1,113,https://www.google.com/maps/place/?q=place_id:ChIJgVC-3vdbwokRGFAERflCZxo
Dragon King,5,2,3.8,148,https://www.google.com/maps/place/?q=place_id:ChIJDX8rAARbwokRDE0KemgN41c
Kam Shing,5,2,4,168,https://www.google.com/maps/place/?q=place_id:ChIJweJyQspEwokRpUU6TjHGbrQ
Hong Kong Express,5,2,4,140,https://www.google.com/maps/place/?q=place_id:ChIJA-aY7iRcwokRWLBOKOPN1xo
Wok Wok Chinese Restaurant,5,2,3.8,223,https://www.google.com/maps/place/?q=place_id:ChIJHexkggzzwokRNuEc21qPmaE
